majorSeq,schoolName,majorName
20,숭실대학교,건축학부
20,연세대학교,건축학(5년제)
20,연세대학교,실내건축학과
20,이화여자대학교,건축학과(5년)
20,이화여자대학교,건축학전공(5년)
20,중앙대학교,건축학부(건축학전공)
20,중앙대학교,건축학부
20,한국예술종합학교,건축과
20,한양대학교,건축학부
20,한양사이버대학교,건축공간디자인학과
20,홍익대학교,건축학부
20,홍익대학교,건축학부 건축학전공(5년제)
20,홍익대학교,건축학부 실내건축학전공
20,경성대학교,건축학과(5년제)
20,경성대학교,실내건축학과
20,경성대학교,건축학과
20,국립부경대학교,건축학전공(5년)
20,국립한국해양대학교,해양공간건축학부
20,국립한국해양대학교,해양공간건축학과
20,동명대학교,건축학과
20,동명대학교,실내건축학과
20,동서대학교,건축설계학전공
20,동서대학교,건축학과
20,동아대학교,건축학과 건축학전공(5년제)
20,동아대학교,건축학과
20,동아대학교,건축학과(5년제)
20,동아대학교,건축학과(5)
20,동의대학교,건축학과
20,동의대학교,건축학전공
20,부산대학교,건설융합학부
20,부산대학교,건축학과
20,부산대학교,건축학과(5년제)
20,부산대학교,건설융합학부 건축학전공
20,신라대학교,건축학전공
20,신라대학교,건축학전공(5년제)
20,신라대학교,건축학부
20,신라대학교,건축학과
20,영산대학교,건축플랜트학과
20,인천대학교,건축학전공
20,인천대학교,도시건축학전공
20,인천대학교,도시건축학부
20,인하대학교,건축학부
20,인하대학교,건축학전공
20,건양대학교,의료건축디자인공학과
20,건양대학교,건축학과
20,국립한밭대학교,건축학과(5년제)
20,대전대학교,건축학과(5)
20,대전대학교,건축학과(4)
20,목원대학교,건축학부 건축학전공(5년제)
20,목원대학교,건축학부
20,배재대학교,건축학과
20,배재대학교,실내건축학전공
20,배재대학교,실내건축학과
20,배재대학교,건축학부
20,배재대학교,건축학전공
20,충남대학교,건축학과(5)
20,한남대학교,건축학과(5년제)
20,경북대학교,건축학부(건축학전공)
20,계명대학교,건축학전공
20,계명대학교,건축학과
20,울산대학교,주거환경학전공
20,울산대학교,건축학부
20,울산대학교,건축학전공
20,광주대학교,건축학부
20,전남대학교,건축학부
20,전남대학교,건축도시설계전공(5년)
20,조선대학교,건축학과(5년제)
20,호남대학교,건축학부
20,호남대학교,건축학과
20,가천대학교,실내건축학전공
20,가천대학교,건축학과
20,가천대학교,건축학부
20,가천대학교,건축학전공
20,가톨릭대학교,공간디자인・소비자학과
20,경기대학교,건축학과
20,경희대학교,건축학과
20,단국대학교,건축학과
20,단국대학교,건축학부 건축학전공
20,단국대학교,건축학부
20,명지대학교 자연캠퍼스,건축학부(건축학전공/전통건축전공) (5년제)
20,명지대학교 자연캠퍼스,건축학부 건축학전공(5년제)
20,명지대학교 자연캠퍼스,건축학부 전통건축전공(5년제)
20,성균관대학교,건축학과
20,수원대학교,건축학
20,수원대학교,건축도시부동산학부
20,아주대학교,건축학과
20,중부대학교,건축학전공
20,중부대학교,건축학과
20,한경국립대학교,디자인건축융합학부
20,한경국립대학교,건축학전공
20,한양대학교 ERICA캠퍼스,스마트융합공학부 건축IT융합전공
20,한양대학교 ERICA캠퍼스,스마트융합공학부 지속가능건축융합전공
20,한양대학교 ERICA캠퍼스,건축학전공
20,가톨릭관동대학교,건축학부
20,가톨릭관동대학교,건축학전공
20,강원대학교,건축학전공(5년제)
20,강원대학교,건설융합학부
20,강원대학교,해양건설시스템공학과
20,강원대학교,건축학과(5)
20,강원대학교,건축학과(5)
20,강원대학교,건설융합학부 건축학전공
20,강원대학교,건축학전공(5년제)
20,강원대학교,건축학부
20,한라대학교,건축학과
20,국립한국교통대학교,건축학부
20,국립한국교통대학교,건축학과
20,국립한국교통대학교,건축학전공
20,서원대학교,건축학과
20,세명대학교,건축학과
20,우석대학교,건축학과
20,청주대학교,건축학과
20,청주대학교,건축학과(5)
20,청주대학교,건축학과(5년)
20,충북대학교,건축학과
20,충북대학교,주거환경학과
20,국립공주대학교,건축학부 건축학전공
20,국립공주대학교,건축학과
20,남서울대학교,건축학과(5)
20,선문대학교,건축학부
20,선문대학교,건축사회환경공학부
20,순천향대학교,건축학과(5)
20,한국기술교육대학교,디자인ㆍ건축공학부
20,한국전통문화대학교,전통건축학과
20,한서대학교,공항건축전공
20,한서대학교,환경ㆍ토목ㆍ건축학과
20,한서대학교,건축학과
20,호서대학교,건축학과
20,국립군산대학교,공간디자인융합기술학과
20,국립군산대학교,해양건설공학과
20,국립군산대학교,공간디자인융합기술학부
20,원광대학교,건축학과
20,전북대학교,주거환경학과
20,전북대학교,한옥학과
20,전북대학교,한옥건축학과
20,전주대학교,건축학과
20,호원대학교,건축인테리어학과
20,호원대학교,건축학과
20,국립목포대학교,건축학과
20,국립목포해양대학교,해양건설공학과
20,국립목포해양대학교,해양・플랜트건설공학과
20,국립순천대학교,건축학부
20,동신대학교,건축학과
20,초당대학교,건축학과
20,경북대학교,스마트플랜트공학과
20,경운대학교,건축학과
20,경일대학교,건축디자인과(5년제)
20,국립금오공과대학교,건축학전공(5년)
20,국립금오공과대학교,건축학부
20,대구가톨릭대학교,건축학과
20,대구한의대학교,건축학전공
20,대구한의대학교,스마트시티건축학전공
20,동양대학교,건축소방안전학과
20,신경주대학교,전통건축학과
20,영남대학교,건축디자인전공
20,영남대학교,주거환경학과
20,영남대학교,건축학부
20,영남대학교,건축학전공
20,경남대학교,건축학전공(5년)
20,경남대학교,건축학부
20,경상국립대학교,건축학과
20,국립창원대학교,건축학전공
20,국립창원대학교,건축학부 건축학전공
20,인제대학교,건축학과
20,인제대학교,실내건축학과
20,제주국제대학교,건설공학부 건축학전공
20,제주국제대학교,건축학과
20,제주대학교,건축학전공
20,홍익대학교 세종캠퍼스,건축공학부 건축디자인전공(5년제)
20,홍익대학교 세종캠퍼스,건축공학부 건축학전공(5년제)
21,광운대학교,게임콘텐츠학과
21,상명대학교,SW융합학부 게임전공
21,서강대학교,아트&테크놀로지학과
21,동명대학교,게임공학과
21,동서대학교,게임전공
21,동서대학교,게임학과
21,동서대학교,Game Development학과
21,동의대학교,게임공학전공
21,동의대학교,게임공학과
21,동의대학교,게임애니메이션공학전공
21,안양대학교,게임콘텐츠학과
21,목원대학교,게임콘텐츠학과
21,목원대학교,게임소프트웨어공학과
21,배재대학교,게임공학전공
21,배재대학교,게임공학과
21,배재대학교,게임애니메이션전공
21,우송대학교,테크노미디어융합학부 게임멀티미디어전공
21,계명대학교,디지펜게임공학과
21,계명대학교,게임소프트웨어전공
21,계명대학교,게임소프트웨어학과
21,계명대학교,디지펜게임공학전공
21,호남대학교,게임애니메이션학과
21,중부대학교,게임소프트웨어전공
21,중부대학교,게임소프트웨어학과
21,한국공학대학교,게임공학과
21,국립공주대학교,게임디자인학과
21,중부대학교,게임학과
21,호서대학교,게임소프트웨어학과
21,원광대학교,게임콘텐츠학과
21,전주대학교,게임콘텐츠학과
21,호원대학교,컴퓨터.게임학과
21,호원대학교,컴퓨터.게임융합학과
21,경일대학교,게임콘텐츠학과
21,대구가톨릭대학교,게임공학전공
21,대구대학교,게임학과
21,경남대학교,게임학과
21,영산대학교,게임VR학과
21,인제대학교,게임학과
21,홍익대학교 세종캠퍼스,게임학부 게임소프트웨어전공(공학계)
30,국립부경대학교,고분자공학전공
30,동아대학교,유기재료고분자공학과
30,동아대학교,신소재화학공학부 유기재료고분자공학과
30,동의대학교,고분자나노공학과
30,부산대학교,고분자공학과
30,인하대학교,고분자공학과
30,배재대학교,나노고분자재료공학과
30,충남대학교,고분자공학과
30,경북대학교,고분자공학과
30,전남대학교,고분자융합소재공학부
30,단국대학교,고분자공학과
30,단국대학교,고분자시스템공학부 고분자공학전공
30,단국대학교,고분자시스템공학부
30,단국대학교,고분자시스템공학부 파이버융합소재공학전공
30,국립한국교통대학교,나노고분자공학전공
30,국립공주대학교,고분자공학전공
30,전북대학교,고분자나노공학과
30,국립순천대학교,고분자·화학공학부(고분자공학전공)
30,국립금오공과대학교,[화학소재]고분자공학전공
30,국립금오공과대학교,고분자공학과
30,경상국립대학교,나노・신소재공학부(고분자공학전공)
35,국립부경대학교,공업화학・고분자공학부
35,국립부경대학교,공업화학전공
35,충북대학교,공업화학과
35,국립공주대학교,공업화학전공
55,서울과학기술대학교,안경광학과
55,세종대학교,광전자공학과
55,건양대학교,안경광학과
55,조선대학교,광기술공학과
55,신한대학교,안경광학과
55,을지대학교,안경광학과
55,한양대학교 ERICA캠퍼스,나노광전자학과
55,가톨릭관동대학교,안경광학과
55,강원대학교,안경광학과
55,경동대학교,안경광학과
55,한림대학교,디스플레이전공
55,극동대학교,안경광학과
55,청주대학교,레이저광정보공학과
55,청주대학교,광기술에너지융합전공
55,국립공주대학교,광공학과
55,백석대학교,안경광학과
55,동신대학교,안경광학과
55,국립금오공과대학교,광시스템공학과
55,김천대학교,안경광학과
55,대구가톨릭대학교,안경광학과
55,가야대학교,안경광학과
55,부산대학교,광메카트로닉스공학과
10142,경희대학교,자율전공학부
10142,고려대학교,공과대학
10142,고려사이버대학교,미래학부
10142,광운대학교,교양학부(공학계열)
10142,동국대학교,AI융합학부
10142,서울과학기술대학교,융합교양학부
10142,서울과학기술대학교,시설물유지관리공학과
10142,서울대학교,첨단융합학부
10142,서울대학교,(공과대학)광역
10142,서울여자대학교,미래산업융합대학
10142,성신여자대학교,AI융합학부
10142,성신여자대학교,서비스・디자인공학과
10142,세종대학교,공과계열
10142,숙명여자대학교,기초공학부
10142,숭실대학교,AI융합학부
10142,이화여자대학교,공과대학
10142,중앙대학교,공과대학
10142,중앙대학교,융합공학부
10142,한성대학교,IT공과대학
10142,한양대학교,창의융합교육원(공학)
10142,경성대학교,글로벌공학부
10142,고신대학교,자율전공학부
10142,동명대학교,자율전공학부
10142,동의대학교,디자인공학부
10142,부산가톨릭대학교,자율전공학부
10142,부산대학교,교양학부(공학계열)
10142,신라대학교,미래융합학과
10142,연세대학교,공학계열
10142,연세대학교,융합과학공학부
10142,국립한밭대학교,산학융합학부
10142,한국과학기술원,새내기과정학부(공학계열)
10142,한남대학교,탈메이지교양・융합대학(공학계열)
